Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Бугульминская городская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140					
18	. Глазьев Сергей Юрьевич	1637	25	34	23	13	20	32	47	34	38	22	44	73	32	29	29	41	71	55	11	12	60	27	28	38	25	23	25	32	48	51	10	29	15	22	0	20	62	45	51	21	16	15	18	42	25	41	9	29	37	38	42	7	1					
		3.00%	2.24%	2.97%	2.01%	1.54%	3.14%	2.76%	3.34%	4.22%	3.67%	1.83%	3.93%	4.37%	3.47%	2.65%	2.01%	4.40%	5.00%	4.96%	1.01%	0.92%	6.20%	3.01%	3.46%	4.70%	2.69%	2.44%	3.18%	3.54%	4.90%	5.67%	1.04%	3.12%	1.43%	2.55%	0.00%	2.17%	4.86%	4.04%	4.68%	2.31%	1.55%	1.50%	2.18%	5.50%	2.07%	3.47%	1.24%	2.82%	2.04%	2.41%	3.95%	1.57%	0.38%					
19	. Малышкин Олег Александрович	1238	22	36	37	19	10	23	50	21	23	37	21	32	23	27	22	22	49	19	22	21	17	17	16	16	5	18	12	22	20	21	11	21	31	23	17	15	29	34	27	26	30	17	15	14	20	34	18	25	45	43	34	3	6					
		2.27%	1.97%	3.14%	3.24%	2.25%	1.57%	1.99%	3.55%	2.61%	2.22%	3.08%	1.88%	1.91%	2.49%	2.47%	1.52%	2.36%	3.45%	1.71%	2.01%	1.61%	1.76%	1.90%	1.98%	1.98%	0.54%	1.91%	1.53%	2.43%	2.04%	2.34%	1.14%	2.26%	2.95%	2.66%	1.83%	1.63%	2.27%	3.05%	2.48%	2.86%	2.90%	1.69%	1.81%	1.83%	1.66%	2.88%	2.48%	2.43%	2.48%	2.73%	3.20%	0.67%	2.31%					
20	. Миронов Сергей Михайлович	837	9	14	17	12	11	21	16	18	23	25	13	26	11	20	12	15	16	15	11	12	12	10	16	35	4	19	12	20	14	16	9	11	10	19	4	17	31	18	22	13	14	14	9	10	27	20	11	22	32	23	14	7	5					
		1.54%	0.81%	1.22%	1.49%	1.42%	1.73%	1.81%	1.14%	2.24%	2.22%	2.08%	1.16%	1.56%	1.19%	1.83%	0.83%	1.61%	1.13%	1.35%	1.01%	0.92%	1.24%	1.11%	1.98%	4.33%	0.43%	2.02%	1.53%	2.21%	1.43%	1.78%	0.94%	1.18%	0.95%	2.20%	0.43%	1.85%	2.43%	1.62%	2.02%	1.43%	1.35%	1.40%	1.09%	1.31%	2.24%	1.69%	1.52%	2.14%	1.76%	1.46%	1.32%	1.57%	1.92%					
21	. Путин Владимир Владимирович	40471	907	892	927	675	456	787	992	494	674	895	819	1206	660	715	1188	621	1020	773	980	1143	657	621	538	501	799	732	586	699	649	616	850	649	788	689	681	674	785	719	715	722	848	820	644	532	912	824	541	772	1461	1304	706	397	216					
		74.26%	81.20%	77.84%	81.10%	79.88%	71.59%	67.96%	70.50%	61.37%	65.12%	74.40%	73.19%	72.13%	71.58%	65.30%	82.16%	66.70%	71.88%	69.70%	89.74%	87.72%	67.87%	69.23%	66.42%	61.93%	85.91%	77.71%	74.55%	77.24%	66.29%	68.52%	88.45%	69.86%	74.98%	79.75%	73.38%	73.26%	61.47%	64.60%	65.60%	79.52%	82.01%	81.75%	77.87%	69.63%	75.50%	69.71%	74.52%	75.10%	80.54%	82.79%	66.48%	88.81%	83.08%					
22	. Хакамада Ирина Муцуовна	2400	29	45	44	33	13	46	80	23	52	51	49	83	39	43	50	53	97	49	33	39	43	57	56	60	15	40	26	27	48	39	30	36	51	30	48	41	62	64	44	46	49	54	39	31	52	66	28	68	75	65	35	13	11					
		4.40%	2.60%	3.93%	3.85%	3.91%	2.04%	3.97%	5.69%	2.86%	5.02%	4.24%	4.38%	4.96%	4.23%	3.93%	3.46%	5.69%	6.84%	4.42%	3.02%	2.99%	4.44%	6.35%	6.91%	7.42%	1.61%	4.25%	3.31%	2.98%	4.90%	4.34%	3.12%	3.88%	4.85%	3.47%	5.17%	4.46%	4.86%	5.75%	4.04%	5.07%	4.74%	5.38%	4.72%	4.06%	4.30%	5.58%	3.86%	6.61%	4.13%	4.13%	3.30%	2.91%	4.23%					
23	. Харитонов Николай Михайлович	5643	102	72	52	53	115	181	151	170	172	113	99	167	110	191	107	136	95	154	32	39	113	131	121	111	72	63	84	74	136	113	25	128	102	40	150	126	229	142	167	59	72	69	84	93	142	165	105	87	91	58	166	0	14					
		10.35%	9.13%	6.28%	4.55%	6.27%	18.05%	15.63%	10.73%	21.12%	16.62%	9.39%	8.85%	9.99%	11.93%	17.44%	7.40%	14.61%	6.69%	13.89%	2.93%	2.99%	11.67%	14.60%	14.94%	13.72%	7.74%	6.69%	10.69%	8.18%	13.89%	12.57%	2.60%	13.78%	9.71%	4.63%	16.16%	13.70%	17.93%	12.76%	15.32%	6.50%	6.96%	6.88%	10.16%	12.17%	11.75%	13.96%	14.46%	8.46%	5.02%	3.68%	15.63%	0.00%	5.38%					
																																																												
24	Против всех	1657	18	37	33	29	5	52	52	30	39	45	53	75	38	47	30	31	64	42	0	37	49	25	31	42	10	29	25	12	47	43	4	41	46	38	20	20	46	62	51	11	5	10	18	30	23	26	2	12	29	38	28	20	7					
		3.04%	1.61%	3.23%	2.89%	3.43%	0.78%	4.49%	3.70%	3.73%	3.77%	3.74%	4.74%	4.49%	4.12%	4.29%	2.07%	3.33%	4.51%	3.79%	0.00%	2.84%	5.06%	2.79%	3.83%	5.19%	1.08%	3.08%	3.18%	1.33%	4.80%	4.78%	0.42%	4.41%	4.38%	4.40%	2.16%	2.17%	3.60%	5.57%	4.68%	1.21%	0.48%	1.00%	2.18%	3.93%	1.90%	2.20%	0.28%	1.17%	1.60%	2.41%	2.64%	4.47%	2.69%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
