Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Красногорская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677					
		31.31%	30.15%	29.12%	19.89%	32.16%	31.72%	20.00%	54.37%	40.69%	33.33%	28.36%	23.33%	58.27%	29.97%	42.95%	27.37%	18.21%	25.14%	24.35%	14.94%	53.31%	32.35%	20.90%	57.32%	13.73%	44.78%	34.74%	27.60%	34.21%					
																																			
24	Против всех	162	15	24	12	10	17	8	2	1	0	8	2	14	2	1	8	3	1	6	0	5	0	0	2	2	9	0	9	1					
		1.77%	2.31%	2.69%	3.18%	1.96%	2.22%	6.96%	1.94%	0.43%	0.00%	1.71%	0.95%	5.26%	0.70%	0.32%	1.40%	0.96%	0.56%	1.57%	0.00%	1.38%	0.00%	0.00%	2.44%	0.78%	3.91%	0.00%	2.04%	0.88%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
